pair,Player1,Player2,ice_time,goals_for,goals_against,shots_for,goals_for_per_60,goals_against_per_60,shots_for_per_60,lambda_for,lambda_against,prob_goal_for_1200,prob_goal_against_1200,PlayerA,PlayerB
Joe Pavelski & Marian Studenic,Joe Pavelski,Marian Studenic,477,0,0,1,0,0,7.547169811320755,0,0,0,0,Joe Pavelski,Marian Studenic
Marian Studenic & Roope Hintz,Marian Studenic,Roope Hintz,438,0,0,2,0,0,16.43835616438356,0,0,0,0,Marian Studenic,Roope Hintz
Alexander Radulov & Marian Studenic,Alexander Radulov,Marian Studenic,3123,1,4,20,1.152737752161383,4.610951008645532,23.054755043227665,0.38424591738712766,1.5369836695485106,0.31903605428716897,0.7849712781009062,Alexander Radulov,Marian Studenic
Marian Studenic & Tyler Seguin,Marian Studenic,Tyler Seguin,4551,3,4,53,2.373104812129202,3.1641397495056034,41.924851680949246,0.7910349373764007,1.054713249835201,0.5466246626876641,0.6517077141413468,Marian Studenic,Tyler Seguin
Jamie Benn & Marian Studenic,Jamie Benn,Marian Studenic,5573,2,6,56,1.2919432980441414,3.875829894132424,36.17441234523596,0.4306477660147138,1.2919432980441412,0.3499121465128996,0.7252636306538636,Jamie Benn,Marian Studenic
Jacob Peterson & Marian Studenic,Jacob Peterson,Marian Studenic,1772,0,1,7,0,2.0316027088036117,14.221218961625283,0,0.6772009029345372,0,0.4919629509867406,Jacob Peterson,Marian Studenic
Marian Studenic & Michael Raffl,Marian Studenic,Michael Raffl,902,0,0,1,0,0,3.991130820399113,0,0,0,0,Marian Studenic,Michael Raffl
Jason Robertson & Marian Studenic,Jason Robertson,Marian Studenic,461,0,0,2,0,0,15.61822125813449,0,0,0,0,Jason Robertson,Marian Studenic
Andrej Sekera & Marian Studenic,Andrej Sekera,Marian Studenic,886,0,0,8,0,0,32.50564334085779,0,0,0,0,Andrej Sekera,Marian Studenic
Andrej Sekera & Thomas Harley,Andrej Sekera,Thomas Harley,53,0,1,2,0,67.9245283018868,135.8490566037736,0,22.641509433962263,0,0.9999999998531353,Andrej Sekera,Thomas Harley
Denis Gurianov & Vladislav Namestnikov,Denis Gurianov,Vladislav Namestnikov,3348,2,1,20,2.150537634408602,1.075268817204301,21.505376344086024,0.7168458781362006,0.3584229390681003,0.5117100443359379,0.301222527792959,Denis Gurianov,Vladislav Namestnikov
Esa Lindell & Vladislav Namestnikov,Esa Lindell,Vladislav Namestnikov,4581,2,4,29,1.5717092337917484,3.143418467583497,22.789783889980356,0.5239030779305828,1.0478061558611655,0.4077953894776103,0.6492936992760248,Esa Lindell,Vladislav Namestnikov
John Klingberg & Vladislav Namestnikov,John Klingberg,Vladislav Namestnikov,4670,0,2,41,0,1.5417558886509635,31.605995717344754,0,0.5139186295503211,0,0.40185293642185815,John Klingberg,Vladislav Namestnikov
Tyler Seguin & Vladislav Namestnikov,Tyler Seguin,Vladislav Namestnikov,7869,4,5,54,1.8299656881433475,2.2874571101791843,24.704536789935187,0.6099885627144491,0.7624857033930614,0.4566429164309179,0.5334946094206228,Tyler Seguin,Vladislav Namestnikov
Joel Hanley & Vladislav Namestnikov,Joel Hanley,Vladislav Namestnikov,3117,0,1,15,0,1.1549566891241578,17.324350336862366,0,0.3849855630413859,0,0.3195395400868265,Joel Hanley,Vladislav Namestnikov
