pair,Player1,Player2,ice_time,goals_for,goals_against,shots_for,goals_for_per_60,goals_against_per_60,shots_for_per_60,lambda_for,lambda_against,prob_goal_for_1200,prob_goal_against_1200,PlayerA,PlayerB
Denis Gurianov & Jani Hakanpaa,Denis Gurianov,Jani Hakanpaa,14277,3,6,99,0.7564614414793024,1.5129228829586048,24.96322756881698,0.2521538138264341,0.5043076276528682,0.222874803724466,0.3960764293137127,Denis Gurianov,Jani Hakanpaa
Jani Hakanpaa & Michael Raffl,Jani Hakanpaa,Michael Raffl,24883,6,22,169,0.8680625326528152,3.1828959530603225,24.450428003054295,0.2893541775509384,1.0609653176867742,0.2512530309327127,0.6538784682228823,Jani Hakanpaa,Michael Raffl
Jani Hakanpaa & Radek Faksa,Jani Hakanpaa,Radek Faksa,29124,0,24,176,0,2.9666254635352285,21.755253399258343,0,0.9888751545117428,0,0.6280051074515616,Jani Hakanpaa,Radek Faksa
Andrej Sekera & Joel Kiviranta,Andrej Sekera,Joel Kiviranta,3915,0,3,19,0,2.7586206896551726,17.471264367816094,0,0.9195402298850575,0,0.6012976896425206,Andrej Sekera,Joel Kiviranta
Jani Hakanpaa & Joel Kiviranta,Jani Hakanpaa,Joel Kiviranta,12068,0,9,79,0,2.6847862114683463,23.56645674511104,0,0.8949287371561154,0,0.59136328178208,Jani Hakanpaa,Joel Kiviranta
Joel Kiviranta & Michael Raffl,Joel Kiviranta,Michael Raffl,3777,1,4,27,0.9531374106433678,3.812549642573471,25.73471008737093,0.3177124702144559,1.2708498808578237,0.2721879740321176,0.7194069502479821,Joel Kiviranta,Michael Raffl
Joel Kiviranta & Radek Faksa,Joel Kiviranta,Radek Faksa,9072,0,5,62,0,1.984126984126984,24.6031746031746,0,0.6613756613756613,0,0.48385918909414105,Joel Kiviranta,Radek Faksa
Esa Lindell & Joel Kiviranta,Esa Lindell,Joel Kiviranta,13032,2,14,101,0.5524861878453038,3.8674033149171274,27.900552486187845,0.18416206261510126,1.289134438305709,0.16819901094078082,0.7244908499190613,Esa Lindell,Joel Kiviranta
Esa Lindell & Luke Glendening,Esa Lindell,Luke Glendening,28737,2,29,174,0.2505480739116818,3.632947071719386,21.797682430316318,0.08351602463722727,1.2109823572397953,0.08012365413160771,0.7020955129895253,Esa Lindell,Luke Glendening
Esa Lindell & Tanner Kero,Esa Lindell,Tanner Kero,4532,0,4,26,0,3.177405119152692,20.6531332744925,0,1.0591350397175638,0,0.6532443895154662,Esa Lindell,Tanner Kero
Joel Kiviranta & Luke Glendening,Joel Kiviranta,Luke Glendening,12269,3,6,88,0.8802673404515446,1.7605346809030893,25.821175319911973,0.29342244681718155,0.5868448936343631,0.25429294742299036,0.443920991736909,Joel Kiviranta,Luke Glendening
Joel Kiviranta & Miro Heiskanen,Joel Kiviranta,Miro Heiskanen,11298,1,8,91,0.3186404673393521,2.5491237387148167,28.99628252788104,0.10621348911311736,0.8497079129049389,0.10076734879915905,0.5724602074312144,Joel Kiviranta,Miro Heiskanen
Joel Kiviranta & Tanner Kero,Joel Kiviranta,Tanner Kero,3162,0,3,18,0,3.415559772296015,20.49335863377609,0,1.1385199240986716,0,0.6797072712821108,Joel Kiviranta,Tanner Kero
Luke Glendening & Miro Heiskanen,Luke Glendening,Miro Heiskanen,22122,6,23,120,0.9764035801464606,3.7428803905614316,19.52807160292921,0.32546786004882017,1.2476267968538104,0.27781060897510856,0.7128144616050267,Luke Glendening,Miro Heiskanen
Luke Glendening & Tanner Kero,Luke Glendening,Tanner Kero,5284,1,3,31,0.6813020439061317,2.043906131718395,21.12036336109008,0.2271006813020439,0.6813020439061317,0.20315944869289948,0.4940422159498471,Luke Glendening,Tanner Kero
Miro Heiskanen & Tanner Kero,Miro Heiskanen,Tanner Kero,4831,0,4,25,0,2.9807493272614365,18.62968329538398,0,0.9935831090871454,0,0.6297523263670838,Miro Heiskanen,Tanner Kero
Alexander Radulov & Luke Glendening,Alexander Radulov,Luke Glendening,3433,0,3,22,0,3.145936498689193,23.070200990387416,0,1.0486454995630643,0,0.649587938899392,Alexander Radulov,Luke Glendening
Alexander Radulov & Tanner Kero,Alexander Radulov,Tanner Kero,1812,0,2,11,0,3.9735099337748343,21.85430463576159,0,1.324503311258278,0,0.7340649867815927,Alexander Radulov,Tanner Kero
Alexander Radulov & John Klingberg,Alexander Radulov,John Klingberg,24303,1,23,216,0.148129860511048,3.4069867917541043,31.99604987038637,0.049376620170349335,1.1356622639180347,0.048177413399246305,0.6787906744677581,Alexander Radulov,John Klingberg
Alexander Radulov & Ryan Suter,Alexander Radulov,Ryan Suter,23012,3,18,203,0.4693203545976012,2.8159221275856074,31.757343994437687,0.1564401181992004,0.9386407091952025,0.14481727394868082,0.608840826777253,Alexander Radulov,Ryan Suter
Jamie Benn & John Klingberg,Jamie Benn,John Klingberg,27233,10,32,232,1.3219256049645651,4.230161935886608,30.668674035177908,0.4406418683215217,1.4100539786288693,0.3563768328519651,0.7558698950105623,Jamie Benn,John Klingberg
Jamie Benn & Ryan Suter,Jamie Benn,Ryan Suter,40740,13,36,390,1.1487481590574373,3.1811487481590572,34.46244477172313,0.3829160530191458,1.060382916053019,0.31812986217713934,0.653676827765131,Jamie Benn,Ryan Suter
John Klingberg & Tyler Seguin,John Klingberg,Tyler Seguin,32795,12,35,321,1.3172739746912638,3.84204909284952,35.23707882299131,0.4390913248970879,1.2806830309498398,0.3553780930877396,0.7221525427864406,John Klingberg,Tyler Seguin
Ryan Suter & Tyler Seguin,Ryan Suter,Tyler Seguin,40600,15,37,389,1.330049261083744,3.2807881773399012,34.49261083743843,0.4433497536945813,1.0935960591133003,0.3581173330110474,0.6649903893674824,Ryan Suter,Tyler Seguin
Esa Lindell & Joe Pavelski,Esa Lindell,Joe Pavelski,28156,6,23,255,0.7671544253445092,2.940758630487285,32.60406307714164,0.25571814178150304,0.9802528768290949,0.22563980217818613,0.6247837966302622,Esa Lindell,Joe Pavelski
Esa Lindell & Roope Hintz,Esa Lindell,Roope Hintz,25876,14,28,216,1.9477508115628381,3.8955016231256763,30.051012521255217,0.649250270520946,1.298500541041892,0.4775626833745815,0.7270592501972322,Esa Lindell,Roope Hintz
Joe Pavelski & Miro Heiskanen,Joe Pavelski,Miro Heiskanen,35428,10,23,368,1.01614542170035,2.3371344699108048,37.394151518572876,0.3387151405667833,0.7790448233036016,0.2873145646542815,0.5411559207724597,Joe Pavelski,Miro Heiskanen
Joe Pavelski & Tyler Seguin,Joe Pavelski,Tyler Seguin,13108,12,15,173,3.295697284101312,4.11962160512664,47.512969179127246,1.0985657613671038,1.3732072017088799,0.6666511572055275,0.7467067072279133,Joe Pavelski,Tyler Seguin
Miro Heiskanen & Roope Hintz,Miro Heiskanen,Roope Hintz,32503,15,24,347,1.661385102913577,2.6582161646617237,38.433375380734084,0.5537950343045257,0.8860720548872412,0.4252355844947472,0.5877280418856303,Miro Heiskanen,Roope Hintz
Roope Hintz & Tyler Seguin,Roope Hintz,Tyler Seguin,7506,8,7,120,3.8369304556354917,3.357314148681055,57.55395683453237,1.2789768185451638,1.1191047162270182,0.7216780713489142,0.673427961570334,Roope Hintz,Tyler Seguin
Esa Lindell & Jacob Peterson,Esa Lindell,Jacob Peterson,13964,6,6,117,1.5468347178458894,1.5468347178458894,30.163276997994842,0.5156115726152964,0.5156115726152964,0.4028647086669257,0.4028647086669257,Esa Lindell,Jacob Peterson
Jacob Peterson & Miro Heiskanen,Jacob Peterson,Miro Heiskanen,15104,4,9,128,0.9533898305084746,2.145127118644068,30.508474576271187,0.3177966101694915,0.715042372881356,0.2722492095270448,0.5108286162438254,Jacob Peterson,Miro Heiskanen
Esa Lindell & Michael Raffl,Esa Lindell,Michael Raffl,30351,5,33,213,0.5930611841454977,3.9142038153602847,25.2644064445982,0.19768706138183256,1.3047346051200948,0.17937338128010405,0.7287554876012401,Esa Lindell,Michael Raffl
Joe Pavelski & Michael Raffl,Joe Pavelski,Michael Raffl,7084,2,3,48,1.0163749294184077,1.5245623941276116,24.392998306041786,0.3387916431394692,0.5081874647092038,0.2873690848381074,0.39841501476362573,Joe Pavelski,Michael Raffl
Michael Raffl & Miro Heiskanen,Michael Raffl,Miro Heiskanen,24791,3,15,165,0.43564196684280587,2.1782098342140293,23.96030817635432,0.14521398894760196,0.7260699447380097,0.1351627922955918,0.5161933544445628,Michael Raffl,Miro Heiskanen
Michael Raffl & Roope Hintz,Michael Raffl,Roope Hintz,5256,2,5,29,1.36986301369863,3.4246575342465753,19.863013698630137,0.45662100456621,1.141552511415525,0.36657964199961257,0.6806771156367851,Michael Raffl,Roope Hintz
Denis Gurianov & Esa Lindell,Denis Gurianov,Esa Lindell,21507,3,11,169,0.5021620867624494,1.8412609847956478,28.288464220951315,0.1673873622541498,0.6137536615985493,0.15412811097399548,0.4586848631021512,Denis Gurianov,Esa Lindell
Denis Gurianov & Miro Heiskanen,Denis Gurianov,Miro Heiskanen,26290,6,8,252,0.8216051730696082,1.0954735640928108,34.50741726892355,0.2738683910232027,0.3651578546976036,0.23956785162755123,0.30591292267584536,Denis Gurianov,Miro Heiskanen
Esa Lindell & Radek Faksa,Esa Lindell,Radek Faksa,31759,4,29,202,0.45341478006234454,3.2872571554519983,22.8974463931484,0.1511382600207815,1.095752385150666,0.1402711756835061,0.6657120010190516,Esa Lindell,Radek Faksa
Miro Heiskanen & Radek Faksa,Miro Heiskanen,Radek Faksa,23533,5,16,136,0.7648833552883185,2.4476267369226195,20.804827263842263,0.25496111842943947,0.8158755789742065,0.22505337148266724,0.5577480687041692,Miro Heiskanen,Radek Faksa
Andrej Sekera & Miro Heiskanen,Andrej Sekera,Miro Heiskanen,1298,1,3,9,2.773497688751926,8.320493066255779,24.961479198767336,0.9244992295839753,2.773497688751926,0.6032699599937177,0.9375567845954516,Andrej Sekera,Miro Heiskanen
Andrej Sekera & Tanner Kero,Andrej Sekera,Tanner Kero,2504,0,1,18,0,1.4376996805111821,25.878594249201278,0,0.4792332268370607,0,0.3807419597447588,Andrej Sekera,Tanner Kero
Denis Gurianov & Tanner Kero,Denis Gurianov,Tanner Kero,2856,0,1,20,0,1.2605042016806722,25.210084033613445,0,0.4201680672268907,0,0.34306359894273974,Denis Gurianov,Tanner Kero
Jani Hakanpaa & Tanner Kero,Jani Hakanpaa,Tanner Kero,4791,0,6,25,0,4.508453350031308,18.78522229179712,0,1.5028177833437693,0,0.7774976873158448,Jani Hakanpaa,Tanner Kero
Radek Faksa & Tanner Kero,Radek Faksa,Tanner Kero,3145,0,2,14,0,2.289348171701113,16.025437201907792,0,0.7631160572337042,0,0.533788580222709,Radek Faksa,Tanner Kero
Andrej Sekera & Luke Glendening,Andrej Sekera,Luke Glendening,7257,0,8,38,0,3.9685820587019434,18.85076477883423,0,1.3228606862339811,0,0.7336277963023354,Andrej Sekera,Luke Glendening
Denis Gurianov & Luke Glendening,Denis Gurianov,Luke Glendening,3112,0,0,16,0,0,18.50899742930591,0,0,0,0,Denis Gurianov,Luke Glendening
Jani Hakanpaa & Luke Glendening,Jani Hakanpaa,Luke Glendening,27425,1,25,151,0.13126709206927983,3.2816773017319965,19.82133090246126,0.04375569735642661,1.0938924339106655,0.04281222758572345,0.6650896630611121,Jani Hakanpaa,Luke Glendening
Jani Hakanpaa & Ryan Suter,Jani Hakanpaa,Ryan Suter,15462,0,16,107,0,3.725261932479627,24.912689173457508,0,1.241753977493209,0,0.7111229105900787,Jani Hakanpaa,Ryan Suter
Joel Kiviranta & Ryan Suter,Joel Kiviranta,Ryan Suter,11100,1,3,95,0.32432432432432434,0.972972972972973,30.810810810810807,0.10810810810810811,0.32432432432432434,0.10246943914554008,0.27698428723245005,Joel Kiviranta,Ryan Suter
Luke Glendening & Ryan Suter,Luke Glendening,Ryan Suter,24208,8,26,140,1.1896893588896231,3.866490416391276,20.819563780568405,0.39656311962987434,1.288830138797092,0.3273721806576968,0.7244069998629538,Luke Glendening,Ryan Suter
Ryan Suter & Tanner Kero,Ryan Suter,Tanner Kero,3808,0,2,27,0,1.8907563025210083,25.525210084033613,0,0.6302521008403361,0,0.4675424489107233,Ryan Suter,Tanner Kero
Miro Heiskanen & Ryan Suter,Miro Heiskanen,Ryan Suter,70901,7,37,633,0.3554251703078941,1.8786759001988689,32.140590400699566,0.11847505676929804,0.6262253000662896,0.11172602819691435,0.46539402569880206,Miro Heiskanen,Ryan Suter
Andrej Sekera & Roope Hintz,Andrej Sekera,Roope Hintz,5194,1,4,45,0.693107431651906,2.772429726607624,31.18983442433577,0.23103581055063532,0.9241432422025413,0.20628895770315903,0.6031287039644493,Andrej Sekera,Roope Hintz
Jani Hakanpaa & Roope Hintz,Jani Hakanpaa,Roope Hintz,17945,10,13,121,2.0061298411813877,2.607968793535804,24.274171078294792,0.6687099470604625,0.8693229311786013,0.48763086507326747,0.5807646956706694,Jani Hakanpaa,Roope Hintz
Luke Glendening & Roope Hintz,Luke Glendening,Roope Hintz,3445,1,7,11,1.0449927431059505,7.314949201741654,11.494920174165456,0.34833091436865016,2.4383164005805513,0.2941347433932683,0.912692280980723,Luke Glendening,Roope Hintz
Esa Lindell & Ryan Suter,Esa Lindell,Ryan Suter,5087,1,3,50,0.7076862590918027,2.123058777275408,35.38431295459013,0.23589541969726757,0.7076862590918026,0.21013672624614332,0.5072169482482727,Esa Lindell,Ryan Suter
Jamie Benn & Radek Faksa,Jamie Benn,Radek Faksa,4298,2,5,21,1.6751977664029782,4.187994416007445,17.589576547231268,0.5583992554676593,1.3959981386691482,0.42787584414654556,0.7524142119552786,Jamie Benn,Radek Faksa
Radek Faksa & Tyler Seguin,Radek Faksa,Tyler Seguin,5328,3,9,48,2.027027027027027,6.081081081081082,32.432432432432435,0.6756756756756757,2.027027027027027,0.4911874878026118,0.8682734409121465,Radek Faksa,Tyler Seguin
Jacob Peterson & Jamie Benn,Jacob Peterson,Jamie Benn,10786,3,6,97,1.001297978861487,2.002595957722974,32.375301316521416,0.333765992953829,0.667531985907658,0.2837786365354825,0.4870269585170276,Jacob Peterson,Jamie Benn
Jacob Peterson & Tyler Seguin,Jacob Peterson,Tyler Seguin,11654,5,7,93,1.5445340655568902,2.1623476917796465,28.72833361935816,0.5148446885189634,0.7207825639265488,0.402406599472767,0.5136285097905066,Jacob Peterson,Tyler Seguin
Jamie Benn & Joe Pavelski,Jamie Benn,Joe Pavelski,10492,4,12,108,1.3724742661075104,4.117422798322531,37.056805184902785,0.4574914220358368,1.3724742661075102,0.36713074226638953,0.746520991505534,Jamie Benn,Joe Pavelski
Andrej Sekera & Jacob Peterson,Andrej Sekera,Jacob Peterson,6126,2,4,37,1.1753183153770812,2.3506366307541624,21.743388834476004,0.39177277179236036,0.7835455435847207,0.3241423295591428,0.5432164093062576,Andrej Sekera,Jacob Peterson
Andrej Sekera & Joe Pavelski,Andrej Sekera,Joe Pavelski,5331,2,5,40,1.3505908835115363,3.376477208778841,27.011817670230727,0.4501969611705121,1.1254924029262803,0.3624974239981551,0.6755073531153379,Andrej Sekera,Joe Pavelski
Andrej Sekera & Tyler Seguin,Andrej Sekera,Tyler Seguin,7360,1,6,46,0.4891304347826087,2.934782608695652,22.5,0.16304347826086957,0.9782608695652173,0.15044574952972756,0.624035618286681,Andrej Sekera,Tyler Seguin
Jacob Peterson & Jani Hakanpaa,Jacob Peterson,Jani Hakanpaa,12084,3,8,82,0.8937437934458788,2.3833167825223436,24.428997020854023,0.29791459781529295,0.7944389275074478,0.25763526338902343,0.5481653241756294,Jacob Peterson,Jani Hakanpaa
Jani Hakanpaa & Joe Pavelski,Jani Hakanpaa,Joe Pavelski,19076,7,16,146,1.3210316628223946,3.019500943594045,27.55294611029566,0.44034388760746485,1.0065003145313483,0.3561850169837394,0.6345041355137245,Jani Hakanpaa,Joe Pavelski
Denis Gurianov & Roope Hintz,Denis Gurianov,Roope Hintz,5220,1,1,36,0.6896551724137931,0.6896551724137931,24.82758620689655,0.22988505747126436,0.22988505747126436,0.20537506654642423,0.20537506654642423,Denis Gurianov,Roope Hintz
Alexander Radulov & Andrej Sekera,Alexander Radulov,Andrej Sekera,6441,1,5,42,0.5589194224499301,2.7945971122496505,23.474615742897065,0.1863064741499767,0.9315323707498835,0.16998082342401377,0.606050429192314,Alexander Radulov,Andrej Sekera
Alexander Radulov & Jani Hakanpaa,Alexander Radulov,Jani Hakanpaa,14506,2,12,95,0.4963463394457466,2.9780780366744795,23.576451123672964,0.16544877981524886,0.9926926788914932,0.1524867281204223,0.6294224998366523,Alexander Radulov,Jani Hakanpaa
Alexander Radulov & Roope Hintz,Alexander Radulov,Roope Hintz,10082,4,5,124,1.428288038087681,1.7853600476096014,44.27692918071811,0.47609601269589363,0.5951200158698671,0.37879616407088146,0.44850362642115693,Alexander Radulov,Roope Hintz
Roope Hintz & Tanner Kero,Roope Hintz,Tanner Kero,516,0,3,4,0,20.930232558139533,27.906976744186046,0,6.976744186046511,0,0.9990666629665316,Roope Hintz,Tanner Kero
Alexander Radulov & Jacob Peterson,Alexander Radulov,Jacob Peterson,22904,8,13,192,1.2574222843171499,2.0433112120153685,30.178134823611597,0.41914076143904994,0.6811037373384561,0.34238837760567986,0.4939418712491256,Alexander Radulov,Jacob Peterson
Esa Lindell & John Klingberg,Esa Lindell,John Klingberg,35134,2,32,281,0.20492969772869585,3.2788751636591336,28.79262253088177,0.06830989924289861,1.0929583878863778,0.06602900817881285,0.6647766952519862,Esa Lindell,John Klingberg
Denis Gurianov & Jamie Benn,Denis Gurianov,Jamie Benn,37899,17,25,372,1.6148183329375445,2.3747328425552126,35.33602469722157,0.5382727776458481,0.7915776141850708,0.4162443420614108,0.5468706322218291,Denis Gurianov,Jamie Benn
Denis Gurianov & Tyler Seguin,Denis Gurianov,Tyler Seguin,35979,19,23,358,1.9011089802384724,2.301342449762361,35.82089552238806,0.6337029934128241,0.767114149920787,0.46937673593488405,0.5356488155162451,Denis Gurianov,Tyler Seguin
Alexander Radulov & Joe Pavelski,Alexander Radulov,Joe Pavelski,8421,7,6,121,2.9925187032418954,2.5650160313501957,51.727823298895615,0.9975062344139651,0.8550053437833985,0.6312020088902703,0.5747190815329098,Alexander Radulov,Joe Pavelski
Alexander Radulov & Radek Faksa,Alexander Radulov,Radek Faksa,11704,1,10,68,0.30758714969241285,3.0758714969241283,20.915926179084074,0.10252904989747094,1.0252904989747094,0.0974480696689467,0.6413077494614892,Alexander Radulov,Radek Faksa
Alexander Radulov & Michael Raffl,Alexander Radulov,Michael Raffl,7477,2,4,54,0.962953056038518,1.925906112077036,25.99973251303999,0.3209843520128393,0.6419687040256786,0.27456539750732745,0.47374463750629814,Alexander Radulov,Michael Raffl
Luke Glendening & Michael Raffl,Luke Glendening,Michael Raffl,33597,6,31,207,0.6429145459416019,3.32172515403161,22.180551834985266,0.21430484864720062,1.1072417180105365,0.19289769652959243,0.66953076756258,Luke Glendening,Michael Raffl
Luke Glendening & Radek Faksa,Luke Glendening,Radek Faksa,34459,7,29,206,0.7313038683653037,3.0296874546562584,21.521228126178936,0.24376795612176788,1.0098958182187527,0.2163305411331089,0.6357430734697643,Luke Glendening,Radek Faksa
Jani Hakanpaa & John Klingberg,Jani Hakanpaa,John Klingberg,646,0,1,0,0,5.572755417956657,0,0,1.8575851393188856,0,0.843950987645679,Jani Hakanpaa,John Klingberg
Jamie Benn & Luke Glendening,Jamie Benn,Luke Glendening,4466,0,6,19,0,4.83654276757725,15.315718763994624,0,1.61218092252575,0,0.8005478502953786,Jamie Benn,Luke Glendening
Andrej Sekera & Ryan Suter,Andrej Sekera,Ryan Suter,4776,0,3,26,0,2.261306532663317,19.597989949748744,0,0.7537688442211056,0,0.529410372630753,Andrej Sekera,Ryan Suter
Jani Hakanpaa & Tyler Seguin,Jani Hakanpaa,Tyler Seguin,19828,8,20,145,1.4524914262658868,3.631228565664716,26.326407101069194,0.4841638087552956,1.2104095218882387,0.3837877473177782,0.7019248138814044,Jani Hakanpaa,Tyler Seguin
John Klingberg & Miro Heiskanen,John Klingberg,Miro Heiskanen,5520,1,14,64,0.6521739130434783,9.130434782608695,41.73913043478261,0.21739130434782608,3.043478260869565,0.19538494167464715,0.952331203704938,John Klingberg,Miro Heiskanen
Jamie Benn & Jani Hakanpaa,Jamie Benn,Jani Hakanpaa,17541,4,16,113,0.8209338122113905,3.283735248845562,23.19138019497178,0.2736446040704635,1.094578416281854,0.2393976577914323,0.6653193268665138,Jamie Benn,Jani Hakanpaa
Denis Gurianov & Jacob Peterson,Denis Gurianov,Jacob Peterson,6245,4,3,54,2.3058446757405924,1.7293835068054444,31.128903122498,0.7686148919135307,0.5764611689351481,0.5363451641876392,0.43811673766789416,Denis Gurianov,Jacob Peterson
Joe Pavelski & Tanner Kero,Joe Pavelski,Tanner Kero,949,0,2,1,0,7.586933614330874,3.793466807165437,0,2.5289778714436246,0,0.920259516328761,Joe Pavelski,Tanner Kero
John Klingberg & Luke Glendening,John Klingberg,Luke Glendening,15963,3,17,117,0.6765645555346739,3.833865814696486,26.386017665852282,0.22552151851155794,1.2779552715654954,0.20190011365851757,0.7213936071512921,John Klingberg,Luke Glendening
John Klingberg & Tanner Kero,John Klingberg,Tanner Kero,2827,0,2,25,0,2.5468694729395116,31.835868411743895,0,0.8489564909798372,0,0.5721388239250405,John Klingberg,Tanner Kero
Esa Lindell & Jani Hakanpaa,Esa Lindell,Jani Hakanpaa,32584,4,38,184,0.4419346918733121,4.198379572796465,20.328995826172356,0.14731156395777067,1.3994598575988215,0.1369749519754757,0.7532698026028868,Esa Lindell,Jani Hakanpaa
Luke Glendening & Tyler Seguin,Luke Glendening,Tyler Seguin,8954,1,7,64,0.40205494750949294,2.8143846325664508,25.73151664060755,0.13401831583649765,0.9381282108554836,0.12542595409859325,0.6086403069717659,Luke Glendening,Tyler Seguin
Tanner Kero & Tyler Seguin,Tanner Kero,Tyler Seguin,2760,3,2,21,3.9130434782608696,2.608695652173913,27.39130434782609,1.3043478260869565,0.8695652173913043,0.7286505556195534,0.5808662583006774,Tanner Kero,Tyler Seguin
Jani Hakanpaa & Miro Heiskanen,Jani Hakanpaa,Miro Heiskanen,1270,0,0,3,0,0,8.503937007874015,0,0,0,0,Jani Hakanpaa,Miro Heiskanen
Jamie Benn & Roope Hintz,Jamie Benn,Roope Hintz,4136,3,9,36,2.6112185686653775,7.833655705996131,31.334622823984525,0.8704061895551258,2.611218568665377,0.5812185899390496,0.9265550085538903,Jamie Benn,Roope Hintz
Michael Raffl & Tyler Seguin,Michael Raffl,Tyler Seguin,9239,4,12,65,1.558610239203377,4.675830717610131,25.327416387054875,0.5195367464011256,1.558610239203377,0.4052039744432885,0.7895716868993935,Michael Raffl,Tyler Seguin
Andrej Sekera & Jamie Benn,Andrej Sekera,Jamie Benn,5660,0,1,40,0,0.6360424028268551,25.441696113074205,0,0.21201413427561835,0,0.19104673648269488,Andrej Sekera,Jamie Benn
Andrej Sekera & Esa Lindell,Andrej Sekera,Esa Lindell,2172,0,1,17,0,1.6574585635359116,28.1767955801105,0,0.5524861878453038,0,0.4244828136013302,Andrej Sekera,Esa Lindell
Jacob Peterson & Joel Kiviranta,Jacob Peterson,Joel Kiviranta,8309,3,10,71,1.2997954025755205,4.332651341918401,30.76182452762065,0.43326513419184015,1.4442171139728004,0.35161144096324315,0.7640692888703502,Jacob Peterson,Joel Kiviranta
Jacob Peterson & Luke Glendening,Jacob Peterson,Luke Glendening,5063,2,4,30,1.4220817697017578,2.8441635394035156,21.33122654552637,0.4740272565672526,0.9480545131345052,0.37750971461187355,0.6125058445974088,Jacob Peterson,Luke Glendening
Joe Pavelski & Luke Glendening,Joe Pavelski,Luke Glendening,1899,1,5,11,1.895734597156398,9.47867298578199,20.85308056872038,0.6319115323854659,3.1595576619273302,0.46842529305514036,0.9575554882477622,Joe Pavelski,Luke Glendening
Denis Gurianov & Joel Hanley,Denis Gurianov,Joel Hanley,6964,0,5,53,0,2.5847214244686962,27.39804709936818,0,0.8615738081562321,0,0.5775033698344454,Denis Gurianov,Joel Hanley
Jani Hakanpaa & Joel Hanley,Jani Hakanpaa,Joel Hanley,14270,2,10,91,0.5045550105115627,2.5227750525578134,22.957252978276102,0.16818500350385424,0.8409250175192711,0.15480254427098117,0.568688631727128,Jani Hakanpaa,Joel Hanley
Joel Hanley & Michael Raffl,Joel Hanley,Michael Raffl,7701,1,7,37,0.4674717569146864,3.272302298402805,17.296455005843395,0.15582391897156211,1.090767432800935,0.1442901486229683,0.6640414308762013,Joel Hanley,Michael Raffl
Joel Hanley & Radek Faksa,Joel Hanley,Radek Faksa,9163,2,6,43,0.7857688529957437,2.357306558987231,16.89403033940849,0.2619229509985812,0.7857688529957436,0.23042968395228836,0.5442308524338967,Joel Hanley,Radek Faksa
Joel Kiviranta & Tyler Seguin,Joel Kiviranta,Tyler Seguin,8006,3,8,64,1.3489882588058957,3.5973020234823885,28.778416187859108,0.44966275293529856,1.1991006744941295,0.36215677389114,0.6985347946133976,Joel Kiviranta,Tyler Seguin
Jamie Benn & Joel Kiviranta,Jamie Benn,Joel Kiviranta,2003,0,1,11,0,1.797304043934099,19.77034448327509,0,0.5991013479780329,0,0.4506949515497185,Jamie Benn,Joel Kiviranta
Jacob Peterson & Joel Hanley,Jacob Peterson,Joel Hanley,6741,0,3,39,0,1.6021361815754338,20.827770360480642,0,0.5340453938584779,0,0.41377135941672794,Jacob Peterson,Joel Hanley
Joe Pavelski & Joel Hanley,Joe Pavelski,Joel Hanley,8644,3,6,69,1.2494215640906987,2.4988431281813974,28.736695974086068,0.41647385469689957,0.8329477093937991,0.3406322480601941,0.5652341677018466,Joe Pavelski,Joel Hanley
Joel Hanley & Roope Hintz,Joel Hanley,Roope Hintz,7821,2,8,55,0.9205983889528194,3.6823935558112777,25.31645569620253,0.3068661296509398,1.2274645186037592,0.264250910697826,0.706965379605953,Joel Hanley,Roope Hintz
Joel Hanley & Joel Kiviranta,Joel Hanley,Joel Kiviranta,5837,1,5,34,0.6167551824567415,3.0837759122837074,20.969676203529207,0.20558506081891384,1.027925304094569,0.18582916241651304,0.6422515896761201,Joel Hanley,Joel Kiviranta
Joel Kiviranta & Roope Hintz,Joel Kiviranta,Roope Hintz,2818,1,3,25,1.27750177430802,3.8325053229240598,31.937544357700496,0.42583392476933996,1.27750177430802,0.34677518242486516,0.7212672312628265,Joel Kiviranta,Roope Hintz
Joel Hanley & Luke Glendening,Joel Hanley,Luke Glendening,8951,1,6,45,0.402189699474919,2.413138196849514,18.098536476371354,0.13406323315830632,0.804379398949838,0.12546523674021637,0.5526345240891046,Joel Hanley,Luke Glendening
Joel Hanley & Tanner Kero,Joel Hanley,Tanner Kero,3115,1,3,17,1.1556982343499198,3.467094703049759,19.646869983948637,0.3852327447833066,1.1556982343499196,0.3197077167026653,0.6851623703087347,Joel Hanley,Tanner Kero
Jamie Benn & Joel Hanley,Jamie Benn,Joel Hanley,8599,1,8,74,0.4186533317827654,3.3492266542621234,30.980346551924644,0.13955111059425512,1.116408884754041,0.13025143129783867,0.672546390641515,Jamie Benn,Joel Hanley
Alexander Radulov & Denis Gurianov,Alexander Radulov,Denis Gurianov,5049,2,3,53,1.4260249554367201,2.1390374331550803,37.78966131907308,0.47534165181224003,0.7130124777183601,0.3783273754005939,0.5098346411267256,Alexander Radulov,Denis Gurianov
Joel Hanley & Tyler Seguin,Joel Hanley,Tyler Seguin,10325,4,9,90,1.3946731234866827,3.138014527845036,31.38014527845036,0.46489104116222757,1.046004842615012,0.3717964502105794,0.6486613980557099,Joel Hanley,Tyler Seguin
Radek Faksa & Roope Hintz,Radek Faksa,Roope Hintz,2628,1,4,7,1.36986301369863,5.47945205479452,9.58904109589041,0.45662100456621,1.82648401826484,0.36657964199961257,0.839021428360879,Radek Faksa,Roope Hintz
